adsorption_measurement/adsorption_energy,adsorption_measurement/doi,adsorption_measurement/external_note,adsorption_measurement/internal_note,adsorption_measurement/is_most_stable_site,adsorption_measurement/method/software,adsorption_measurement/method/exchange_correlation,adsorption_measurement/method/basis_set,adsorption_measurement/method/potentials,adsorption_measurement/method/is_spin_polarization,adsorption_measurement/method/is_zero_point_energy,adsorption_measurement/method/is_fixed_substrate,adsorption_measurement/bulk_surface_property_set/is_stretched,adsorption_measurement/bulk_surface_property_set/is_compressed,adsorption_measurement/bulk_surface_property_set/nano_number_of_atoms,adsorption_measurement/bulk_surface_property_set/termination,adsorption_measurement/bulk_surface_property_set/space_group,adsorption_measurement/bulk_surface_property_set/bulk_surface_material/name,adsorption_measurement/bulk_surface_property_set/primary_bulk_class/name,adsorption_measurement/bulk_surface_property_set/secondary_bulk_class,adsorption_measurement/bulk_surface_property_set/lattice_constant/lattice_constant_1,adsorption_measurement/bulk_surface_property_set/lattice_constant/lattice_constant_2,adsorption_measurement/bulk_surface_property_set/lattice_constant/lattice_constant_3,adsorption_measurement/bulk_surface_property_set/first_layer_composition,adsorption_measurement/bulk_surface_property_set/second_layer_composition,adsorption_measurement/bulk_surface_property_set/facet/name,adsorption_measurement/bulk_surface_property_set/cell_symmetry/name,adsorption_measurement/adsorbate_fraction/fraction,adsorption_measurement/adsorbate_fraction/numeric,adsorption_measurement/adsorbate_fraction/unit,adsorption_measurement/adsorbate_species/formula,adsorption_measurement/adsorbate_species/smiles,adsorption_measurement/adsorbate_species/name,adsorption_measurement/adsorbate_species/molecular_formula,adsorption_measurement/adsorbate_species/connectivity_smiles,adsorption_measurement/adsorption_site/site_name,adsorption_measurement/approver,adsorption_measurement/adsorption_reference_species_set/0/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/0/species/formula,adsorption_measurement/adsorption_reference_species_set/0/species/smiles,adsorption_measurement/adsorption_reference_species_set/0/species/name,adsorption_measurement/adsorption_reference_species_set/0/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/0/species/connectivity_smiles,adsorption_measurement/emn_user/first_name,adsorption_measurement/emn_user/last_name,adsorption_measurement/emn_user/affiliation,adsorption_measurement/emn_user/email,adsorption_measurement/adsorption_site,adsorption_measurement/bulk_surface_property_set/lattice_constant,adsorption_measurement/bulk_surface_property_set/secondary_bulk_class/name,adsorption_measurement/adsorption_reference_species_set/1/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/1/species/formula,adsorption_measurement/adsorption_reference_species_set/1/species/smiles,adsorption_measurement/adsorption_reference_species_set/1/species/name,adsorption_measurement/adsorption_reference_species_set/1/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/1/species/connectivity_smiles,adsorption_measurement/bulk_surface_property_set/first_layer_composition/name,adsorption_measurement/bulk_surface_property_set/second_layer_composition/name,adsorption_measurement/bulk_surface_property_set/facet,adsorption_measurement/adsorption_reference_species_set/2/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/2/species/formula,adsorption_measurement/adsorption_reference_species_set/2/species/smiles,adsorption_measurement/adsorption_reference_species_set/2/species/name,adsorption_measurement/adsorption_reference_species_set/2/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/2/species/connectivity_smiles,adsorption_measurement/bulk_surface_property_set/cell_symmetry,adsorption_measurement/adsorption_reference_species_set/3/reference_coefficient,adsorption_measurement/adsorption_reference_species_set/3/species/formula,adsorption_measurement/adsorption_reference_species_set/3/species/smiles,adsorption_measurement/adsorption_reference_species_set/3/species/name,adsorption_measurement/adsorption_reference_species_set/3/species/molecular_formula,adsorption_measurement/adsorption_reference_species_set/3/species/connectivity_smiles
-4.29,10.1016/S0039-6028(01)01464-9,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,,false,false,false,,,Fm3m,Cu,transition metal,,3.66,,,,,(111),2x2,1/4,0.25,Cu,O,[O],"oxygen, atomic",O,[O],fcc,,1,O,[O],"oxygen, atomic",O,[O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.56,10.1016/S0039-6028(01)01464-9,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,,false,false,false,,,Fm3m,Cu,transition metal,,3.66,,,,,(111),2x2,1/4,0.25,Cu,O2,O=O,oxygen,O2,[O][O],b-h-b,,1,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-3.14,10.1016/0039-6028(95)01141-2,,,true,CETEP,PW91,plane wave,norm-conserving pseudopotential,true,,,false,false,,,Fm3m,Ag,transition metal,,4.19,,,,,(110),3x2,1/6,0.1667,Ag,O,[O],"oxygen, atomic",O,[O],fourfold hollow,,1,O,[O],"oxygen, atomic",O,[O],Matthew,Jankousky,NREL,Matthew.Jankousky@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,10.1016/0039-6028(95)01141-2,,,true,CETEP,PW91,plane wave,norm-conserving pseudopotential,true,,,false,false,,,Fm3m,Ag,transition metal,,4.19,,,,,(110),3x2,1/6,0.1667,Ag,O2,O=O,oxygen,O2,[O][O],fourfold hollow (1-10),,1,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-1.67,10.1016/S0039-6028(99)00489-6,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,,,Ni,transition metal,,3.532,,,,,(111),4x2,1/4,0.25,Ni,O2,O=O,oxygen,O2,[O][O],t-hcp-b,,1,O2,O=O,oxygen,O2,[O][O],Matthew,Jankousky,NREL,Matthew.Jankousky@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.3,10.1016/S0039-6028(99)00489-6,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,,,Ni,transition metal,,3.532,,,,,(111),4x2,1/4,0.25,Ni,O,[O],"oxygen, atomic",O,[O],fcc,,1,O,[O],"oxygen, atomic",O,[O],Matthew,Jankousky,NREL,Matthew.Jankousky@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-1.9,10.1016/S0039-6028(99)00489-6,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,,,Ni,transition metal,,3.532,,,,,(111),4x2,1/2,0.5,Ni,O,[O],"oxygen, atomic",O,[O],fcc,,1,O,[O],"oxygen, atomic",O,[O],Matthew,Jankousky,NREL,Matthew.Jankousky@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.54,10.1021/jp034380x,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,true,,true,false,false,,,Fm3m,Au,transition metal,,4.18,,,,,(111),2x2,1/4,0.25,Au,O,[O],"oxygen, atomic",O,[O],fcc,,1,O,[O],"oxygen, atomic",O,[O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.77,10.1021/jp034380x,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,true,,true,false,false,,,Fm3m,Au,transition metal,,4.18,,,,,(211),3x2,1/6,0.1667,Au,O,[O],"oxygen, atomic",O,[O],f0,,1,O,[O],"oxygen, atomic",O,[O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15,10.1021/jp034380x,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,true,,true,false,false,,,Fm3m,Au,transition metal,,4.18,,,,,(211),3x2,1/6,0.1667,Au,O2,O=O,oxygen,O2,[O][O],top-bridge-top,,1,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,10.1021/jp034380x,RPBE computed with the PW91 density,,true,Dacapo,RPBE,plane wave,ultrasoft pseudopotential,true,,true,false,false,,,Fm3m,Au,transition metal,,4.18,,,,,(211),3x2,1/6,0.1667,Au,O2,O=O,oxygen,O2,[O][O],f0,,1,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.83,10.1021/jp034380x,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,true,,false,false,false,,,Fm3m,Au,transition metal,,4.18,,,,,(211),3x2,1/4,0.25,Au,O,[O],"oxygen, atomic",O,[O],h1,,1,O,[O],"oxygen, atomic",O,[O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15,10.1021/jp034380x,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,true,,false,false,false,,,Fm3m,Au,transition metal,,4.18,,,,,(211),3x2,1/6,0.1667,Au,O2,O=O,oxygen,O2,[O][O],top-bridge-top,,1,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-4.57,10.1063/1.1479716,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Ir,Fm3m,Ir,transition metal,,3.86,,,,,(111),2x2,1/4,0.25,Ir,O,[O],"oxygen, atomic",O,[O],fcc,,1,O,[O],"oxygen, atomic",O,[O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-1.27,10.1063/1.1479716,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,false,,false,false,false,,Ir,Fm3m,Ir,transition metal,,3.86,,,,,(111),2x2,1/4,0.25,Ir,O2,O=O,oxygen,O2,[O][O],t-b-t,,1,O2,O=O,oxygen,O2,[O][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.52,10.1016/j.susc.2008.04.035,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(100),2x2,1/4,0.25,Rh,NO,[N]=O,nitric oxide,NO,[N][O],bridge,,1,NO,[N]=O,nitric oxide,NO,[N][O],Matthew,Jankousky,NREL,Matthew.Jankousky@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.26,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,CHO,[CH]=O,formyl,CHO,[CH][O],fcc,,1,CHO,[CH]=O,formyl,CHO,[CH][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.72,10.1016/j.susc.2008.04.035,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(110),2x2,1/4,0.25,Rh,NO,[N]=O,nitric oxide,NO,[N][O],short bridge,,1,NO,[N]=O,nitric oxide,NO,[N][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.64,10.1016/j.susc.2008.04.035,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(100),4x4,1/16,0.0625,Rh,NO,[N]=O,nitric oxide,NO,[N][O],bridge,,1,NO,[N]=O,nitric oxide,NO,[N][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.56,10.1016/j.susc.2008.04.035,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(100),3x3,1/9,0.1111,Rh,NO,[N]=O,nitric oxide,NO,[N][O],bridge,,1,NO,[N]=O,nitric oxide,NO,[N][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,10.1016/j.susc.2008.04.035,,,true,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,false,false,,Rh,,Rh,transition metal,,3.85,,,,,(100),c(2x2),1/2,0.5,Rh,NO,[N]=O,nitric oxide,NO,[N][O],bridge,,1,NO,[N]=O,nitric oxide,NO,[N][O],Matthew,Jankousky,NREL,Matthew.Jankousky@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
-0.41,10.1016/j.susc.2015.11.020,,,true,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,false,true,false,false,,Pd,,Pd,transition metal,,3.99,,,,,(111),3x3,1/9,0.1111,Pd,HCOOH,OC=O,formic acid,CH2O2,O[CH][O],top-bridge,,1,HCOOH,OC=O,formic acid,CH2O2,O[CH][O],Tuong,Bui,NREL,Tuong.Bui@nrel.gov,,,,,,,,,,,,,,,,,,,,,,,,,
